Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary
2009-08-31T08:00:00.000+08:00,"Negative Implications for Eli Lilly's (LLY) Efficient, Says Leerink",LLY,https://www.benzinga.com/benzingastaff1/2009/8/31/negative-implications-eli-lillys-lly-efficient-says-leerink,BenzingaStaff1,,,,,,
2009-09-09T08:00:00.000+08:00,Zignals Stock Charts: 7 Divided Elites from TheStockAdvisors,LLY,https://www.benzinga.com/134753/zignals-stock-charts-7-divided-elites-from-thestockadvisors,Zignals,,,,,,
2009-09-24T08:00:00.000+08:00,Eli Lilly and Company (LLY) Wins Evista Patent Till 2014,LLY,https://www.benzinga.com/16597/health-care/eli-lilly-and-company-lly-wins-evista-patent-till-2014,BenzingaStaff1,,,,,,
2009-09-29T08:00:00.000+08:00,Eli Lilly (LLY) trading in a congestion zone,LLY,https://www.benzinga.com/18416/health-care/eli-lilly-lly-trading-in-a-congestion-zone,Craig Jones,,,,,,
2009-10-19T08:00:00.000+08:00,The Week’s Must-Haves and Have-nots According to Jim Cramer,LLY,https://www.benzinga.com/markets/analyst-research/26058/the-week%E2%80%99s-must-haves-and-have-nots,Benzinga Staff 5,,,,,,
2009-10-21T08:00:00.000+08:00,Eli Lilly Posts Higher Returns than Expected Behind Increased Sales Volumes (NYSE: LLY),LLY,https://www.benzinga.com/general/27608/eli-lilly-posts-higher-returns-than-expected-behind-increased-sales-volumes-nyse-lly,Benzinga Staff15,,,,,,
2009-10-21T08:00:00.000+08:00,"Today’s Earnings Preview (BA, MS, WFC, EBAY, LLY, MO)",LLY,https://www.benzinga.com/markets/company-news/earnings/27322/today%E2%80%99s-earnings-preview-ba-ms-wfc-ebay-lly-mo,Benzinga Staff15,,,,,,
2009-11-02T08:00:00.000+08:00,"Stocks Running Early (HGSI, VRTX, DNDN, JWN)",LLY,https://www.benzinga.com/pre-market-outlook/33826/stocks-running-early-hgsi-vrtx-dndn-jwn,Benzinga Staff,,,,,,
2009-11-13T08:00:00.000+08:00,Eli Lilly Calls Active (NYSE: LLY),LLY,https://www.benzinga.com/markets/options/41138/eli-lilly-calls-active-nyse-lly,Michael J. Zerinskas,,,,,,
2009-12-01T08:00:00.000+08:00,"Company News for December 01, 2009 - Corporate Summary",LLY,https://www.benzinga.com/48404/company-news-for-december-01-2009-corporate-summary,Zacks,,,,,,
2009-12-08T08:00:00.000+08:00,"10 Stocks To Shine In 2010 (C, NYT, LVLT, KBH, LLY)",LLY,https://www.benzinga.com/analyst-research/upgrades/55664/10-stocks-to-shine-in-2010-c-nyt-lvlt-kbh-lly-bsx-moh-dow,Benzinga Staff 5,,,,,,
